source,target,value
Republic of Korea,Algeria,802.0
Republic of Moldova,Algeria,2161.0
Romania,Algeria,16435.0
Russian Federation,Algeria,184164.0
Saudi Arabia,Algeria,3754.0
Serbia,Algeria,58821.0
Singapore,Algeria,265.0
Slovenia,Algeria,413.0
South Africa,Algeria,26605.0
South Sudan,Algeria,3554.0
Spain,Algeria,303516.0
Sri Lanka,Algeria,246.0
Sweden,Algeria,73917.0
Switzerland,Algeria,25942.0
Syrian Arab Republic,Algeria,19508.0
Tajikistan,Algeria,3955.0
Thailand,Algeria,19778.0
Togo,Algeria,125.0
Tunisia,Algeria,20394.0
Turkey,Algeria,125955.0
Uganda,Algeria,3865.0
Ukraine,Algeria,152956.0
United Arab Emirates,Algeria,5434.0
United Kingdom,Algeria,169181.0
United Republic of Tanzania,Algeria,925.0
United States of America,Algeria,304869.0
Uruguay,Algeria,56749.0
Uzbekistan,Algeria,44.0
Viet Nam,Algeria,157824.0
Zimbabwe,Algeria,3921.0
Argentina,Antigua and Barbuda,144.0
Australia,Antigua and Barbuda,406.0
Austria,Antigua and Barbuda,188.0
Bahamas,Antigua and Barbuda,18.0
Barbados,Antigua and Barbuda,979.0
Belgium,Antigua and Barbuda,667.0
Belize,Antigua and Barbuda,94.0
Brazil,Antigua and Barbuda,3873.0
British Virgin Islands,Antigua and Barbuda,26.0
Canada,Antigua and Barbuda,1761.0
Chile,Antigua and Barbuda,1057.0
"China, Taiwan Province of",Antigua and Barbuda,27.0
"China, mainland",Antigua and Barbuda,251.0
Colombia,Antigua and Barbuda,241.0
Costa Rica,Antigua and Barbuda,366.0
Cuba,Antigua and Barbuda,30.0
Cyprus,Antigua and Barbuda,359.0
Democratic People's Republic of Korea,Antigua and Barbuda,28.0
Denmark,Antigua and Barbuda,581.0
Dominica,Antigua and Barbuda,675.0
Dominican Republic,Antigua and Barbuda,1132.0
Ecuador,Antigua and Barbuda,24.0
El Salvador,Antigua and Barbuda,1.0
Fiji,Antigua and Barbuda,37.0
Finland,Antigua and Barbuda,37.0
France,Antigua and Barbuda,2096.0
Georgia,Antigua and Barbuda,14.0
Germany,Antigua and Barbuda,261.0
Grenada,Antigua and Barbuda,1543.0
Guam,Antigua and Barbuda,1.0
Guatemala,Antigua and Barbuda,768.0
Guyana,Antigua and Barbuda,1869.0
Honduras,Antigua and Barbuda,139.0
Hungary,Antigua and Barbuda,1.0
India,Antigua and Barbuda,18.0
Indonesia,Antigua and Barbuda,36.0
Ireland,Antigua and Barbuda,91.0
Italy,Antigua and Barbuda,876.0
Jamaica,Antigua and Barbuda,4558.0
Lithuania,Antigua and Barbuda,31.0
Luxembourg,Antigua and Barbuda,59.0
Malaysia,Antigua and Barbuda,355.0
Mexico,Antigua and Barbuda,1044.0
Montserrat,Antigua and Barbuda,4.0
Namibia,Antigua and Barbuda,10.0
Netherlands,Antigua and Barbuda,2509.0
New Zealand,Antigua and Barbuda,440.0
Nicaragua,Antigua and Barbuda,29.0
Niger,Antigua and Barbuda,55.0
Nigeria,Antigua and Barbuda,3.0
Pakistan,Antigua and Barbuda,13.0
Panama,Antigua and Barbuda,34.0
Peru,Antigua and Barbuda,453.0
Philippines,Antigua and Barbuda,46.0
Poland,Antigua and Barbuda,73.0
Portugal,Antigua and Barbuda,7.0
Republic of Korea,Antigua and Barbuda,6.0
Saint Kitts and Nevis,Antigua and Barbuda,337.0
Saint Lucia,Antigua and Barbuda,963.0
Saint Vincent and the Grenadines,Antigua and Barbuda,4725.0
Saudi Arabia,Antigua and Barbuda,25.0
South Africa,Antigua and Barbuda,96.0
Spain,Antigua and Barbuda,149.0
Sri Lanka,Antigua and Barbuda,23.0
Sweden,Antigua and Barbuda,170.0
Switzerland,Antigua and Barbuda,6.0
Syrian Arab Republic,Antigua and Barbuda,4.0
Thailand,Antigua and Barbuda,156.0
Trinidad and Tobago,Antigua and Barbuda,8406.0
Turkey,Antigua and Barbuda,94.0
United Arab Emirates,Antigua and Barbuda,30.0
United Kingdom,Antigua and Barbuda,6755.0
United States of America,Antigua and Barbuda,52457.0
Unspecified Area,Antigua and Barbuda,1189.0
Uruguay,Antigua and Barbuda,120.0
Albania,Argentina,9.0
Argentina,Argentina,10569.0
Australia,Argentina,7848.0
Austria,Argentina,2854.0
Bahamas,Argentina,18.0
Belgium,Argentina,9679.0
Bolivia (Plurinational State of),Argentina,53943.0
Bosnia and Herzegovina,Argentina,2.0
Brazil,Argentina,547487.0
Bulgaria,Argentina,1478.0
Burundi,Argentina,5.0
Cameroon,Argentina,2.0
Canada,Argentina,9636.0
Chile,Argentina,146814.0
"China, Hong Kong SAR",Argentina,11.0
"China, Taiwan Province of",Argentina,438.0
"China, mainland",Argentina,48404.0
Colombia,Argentina,19393.0
Comoros,Argentina,23.0
Congo,Argentina,2.0
Costa Rica,Argentina,254.0
Croatia,Argentina,11.0
Cuba,Argentina,3541.0
Czechia,Argentina,230.0
Côte d'Ivoire,Argentina,2258.0
Democratic Republic of the Congo,Argentina,1.0
Denmark,Argentina,20614.0
Djibouti,Argentina,119.0
Dominica,Argentina,1.0
Dominican Republic,Argentina,415.0
Ecuador,Argentina,199975.0
Egypt,Argentina,1771.0
El Salvador,Argentina,21.0
Estonia,Argentina,480.0
Ethiopia,Argentina,34.0
Fiji,Argentina,21.0
Finland,Argentina,95.0
France,Argentina,23234.0
Gabon,Argentina,3.0
Germany,Argentina,32031.0
Greece,Argentina,177.0
Grenada,Argentina,310.0
Guatemala,Argentina,1601.0
Guinea,Argentina,1.0
Haiti,Argentina,74.0
Honduras,Argentina,46.0
Hungary,Argentina,1220.0
Iceland,Argentina,48.0
India,Argentina,17986.0
Indonesia,Argentina,60347.0
Iran (Islamic Republic of),Argentina,118.0
Ireland,Argentina,3969.0
Israel,Argentina,930.0
Italy,Argentina,30356.0
Jamaica,Argentina,5.0
Japan,Argentina,396.0
Kenya,Argentina,1.0
Latvia,Argentina,50.0
Lebanon,Argentina,122.0
Lithuania,Argentina,131.0
Madagascar,Argentina,455.0
Malawi,Argentina,679.0
Malaysia,Argentina,20265.0
Mexico,Argentina,29281.0
Morocco,Argentina,609.0
Mozambique,Argentina,11058.0
Namibia,Argentina,5.0
Netherlands,Argentina,33023.0
New Zealand,Argentina,3437.0
Nicaragua,Argentina,271.0
Nigeria,Argentina,6.0
North Macedonia,Argentina,2054.0
Norway,Argentina,45.0
Pakistan,Argentina,41.0
Panama,Argentina,127.0
Papua New Guinea,Argentina,2.0
Paraguay,Argentina,283265.0
Peru,Argentina,12854.0
Philippines,Argentina,7785.0
Poland,Argentina,2895.0
Portugal,Argentina,151.0
Republic of Korea,Argentina,1272.0
Republic of Moldova,Argentina,6.0
Romania,Argentina,838.0
Russian Federation,Argentina,634.0
Rwanda,Argentina,3.0
Serbia,Argentina,93.0
Sierra Leone,Argentina,1.0
Singapore,Argentina,876.0
Slovenia,Argentina,26.0
South Africa,Argentina,4585.0
Spain,Argentina,37885.0
Sri Lanka,Argentina,1574.0
Sudan,Argentina,5.0
Sweden,Argentina,4165.0
Switzerland,Argentina,20222.0
Thailand,Argentina,11287.0
Trinidad and Tobago,Argentina,68.0
Tunisia,Argentina,210.0
Turkey,Argentina,12603.0
Uganda,Argentina,7.0
Ukraine,Argentina,84.0
United Arab Emirates,Argentina,59.0
United Kingdom,Argentina,31854.0
United Republic of Tanzania,Argentina,989.0
United States of America,Argentina,120684.0
Unspecified Area,Argentina,15045.0
Uruguay,Argentina,95590.0
Uzbekistan,Argentina,314.0
Venezuela (Bolivarian Republic of),Argentina,51.0
Viet Nam,Argentina,10600.0
American Samoa,Armenia,2.0
Anguilla,Armenia,22.0
Argentina,Armenia,8413.0
Australia,Armenia,21.0
Austria,Armenia,1606.0
Bahamas,Armenia,1.0
Bangladesh,Armenia,3591.0
Barbados,Armenia,6.0
Belarus,Armenia,1387.0
Belgium,Armenia,1785.0
Bosnia and Herzegovina,Armenia,9.0
Brazil,Armenia,31021.0
Bulgaria,Armenia,729.0
Canada,Armenia,2094.0
Chile,Armenia,250.0
"China, Hong Kong SAR",Armenia,1.0
"China, Taiwan Province of",Armenia,59.0
"China, mainland",Armenia,3597.0
Colombia,Armenia,3.0
Croatia,Armenia,29.0
Cuba,Armenia,87.0
Cyprus,Armenia,144.0
Czechia,Armenia,262.0
Côte d'Ivoire,Armenia,1414.0
Democratic People's Republic of Korea,Armenia,4.0
Denmark,Armenia,562.0
Dominican Republic,Armenia,90.0
Ecuador,Armenia,318.0
Egypt,Armenia,274.0
Estonia,Armenia,83.0
Fiji,Armenia,3.0
Finland,Armenia,1792.0
France,Armenia,6773.0
Georgia,Armenia,27369.0
Germany,Armenia,10617.0
Ghana,Armenia,1008.0
Greece,Armenia,1668.0
Guatemala,Armenia,5.0
Honduras,Armenia,1.0
Hungary,Armenia,1281.0
India,Armenia,18519.0
Indonesia,Armenia,237.0
Iran (Islamic Republic of),Armenia,2003.0
Ireland,Armenia,1516.0
Israel,Armenia,603.0
Italy,Armenia,13946.0
Jamaica,Armenia,3.0
Japan,Armenia,17.0
Jordan,Armenia,4.0
Kazakhstan,Armenia,66.0
Kuwait,Armenia,3.0
Latvia,Armenia,98.0
Lebanon,Armenia,156.0
Lithuania,Armenia,153.0
Malawi,Armenia,4201.0
Malaysia,Armenia,1965.0
Mali,Armenia,5.0
Mauritius,Armenia,40.0
Mexico,Armenia,582.0
Netherlands,Armenia,2361.0
New Zealand,Armenia,8.0
Nicaragua,Armenia,7.0
Nigeria,Armenia,635.0
Norway,Armenia,9.0
Pakistan,Armenia,1227.0
Peru,Armenia,9.0
Philippines,Armenia,51.0
Poland,Armenia,8348.0
Portugal,Armenia,1228.0
Republic of Korea,Armenia,1126.0
Republic of Moldova,Armenia,260.0
Romania,Armenia,585.0
Russian Federation,Armenia,200572.0
Saudi Arabia,Armenia,27.0
Serbia,Armenia,771.0
Sierra Leone,Armenia,668.0
Singapore,Armenia,80.0
Slovakia,Armenia,31.0
Slovenia,Armenia,259.0
South Africa,Armenia,6337.0
Spain,Armenia,3354.0
Sri Lanka,Armenia,4.0
Sweden,Armenia,1593.0
Switzerland,Armenia,1588.0
Syrian Arab Republic,Armenia,108.0
Thailand,Armenia,3485.0
Togo,Armenia,934.0
Trinidad and Tobago,Armenia,26.0
Turkey,Armenia,2240.0
Turkmenistan,Armenia,102.0
Ukraine,Armenia,47270.0
United Arab Emirates,Armenia,838.0
United Kingdom,Armenia,1672.0
United States of America,Armenia,1938.0
Unspecified Area,Armenia,8917.0
Uzbekistan,Armenia,24.0
Viet Nam,Armenia,604.0
Zimbabwe,Armenia,6813.0
Brazil,Aruba,12697.0
"China, Hong Kong SAR",Aruba,79.0
"China, mainland",Aruba,409.0
Colombia,Aruba,8836.0
Mexico,Aruba,1608.0
Netherlands,Aruba,48093.0
Panama,Aruba,2471.0
Paraguay,Aruba,6730.0
Republic of Korea,Aruba,175.0
United Kingdom,Aruba,23996.0
United States of America,Aruba,155030.0
Unspecified Area,Aruba,33197.0
Venezuela (Bolivarian Republic of),Aruba,4516.0
Afghanistan,Australia,84.0
Albania,Australia,231.0
Algeria,Australia,47.0
American Samoa,Australia,6.0
Antigua and Barbuda,Australia,561.0
Argentina,Australia,325051.0
Armenia,Australia,9.0
Australia,Australia,28554.0
Austria,Australia,156518.0
Azerbaijan,Australia,120.0
Bahamas,Australia,339.0
Bahrain,Australia,72.0
Bangladesh,Australia,2022.0
Barbados,Australia,919.0
Belarus,Australia,11.0
Belgium,Australia,123927.0
Belize,Australia,235.0
Bermuda,Australia,216.0
Bolivia (Plurinational State of),Australia,7147.0
Bosnia and Herzegovina,Australia,442.0
Brazil,Australia,137581.0
British Virgin Islands,Australia,8.0
Bulgaria,Australia,10914.0
Burkina Faso,Australia,15.0
Burundi,Australia,372.0
Cambodia,Australia,1565.0
Canada,Australia,159192.0
Chile,Australia,82476.0
"China, Hong Kong SAR",Australia,41550.0
"China, Macao SAR",Australia,220.0
"China, Taiwan Province of",Australia,48052.0
"China, mainland",Australia,666209.0
Colombia,Australia,44965.0
Comoros,Australia,9.0
Cook Islands,Australia,7.0
Costa Rica,Australia,14492.0
Croatia,Australia,7124.0
Cuba,Australia,7855.0
Cyprus,Australia,12730.0
Czechia,Australia,13147.0
Côte d'Ivoire,Australia,15110.0
Democratic Republic of the Congo,Australia,124.0
Denmark,Australia,218445.0
Djibouti,Australia,857.0
Dominican Republic,Australia,421.0
Ecuador,Australia,11580.0
Egypt,Australia,8442.0
El Salvador,Australia,3816.0
Equatorial Guinea,Australia,9.0
Estonia,Australia,1039.0
Eswatini,Australia,2058.0
Ethiopia,Australia,17701.0
Fiji,Australia,9681.0
Finland,Australia,10830.0
France,Australia,466482.0
French Polynesia,Australia,48.0
Georgia,Australia,860.0
Germany,Australia,308134.0
Ghana,Australia,5219.0
Greece,Australia,78896.0
Grenada,Australia,65.0
Guatemala,Australia,9897.0
Guinea,Australia,34.0
Guyana,Australia,111.0
Haiti,Australia,14.0
Honduras,Australia,11038.0
Hungary,Australia,11302.0
Iceland,Australia,366.0
India,Australia,213172.0
Indonesia,Australia,200008.0
Iran (Islamic Republic of),Australia,17036.0
Ireland,Australia,84145.0
Israel,Australia,20135.0
Italy,Australia,529499.0
Jamaica,Australia,1555.0
Japan,Australia,93339.0
Jordan,Australia,1902.0
Kenya,Australia,20455.0
Kuwait,Australia,60.0
Kyrgyzstan,Australia,1.0
Lao People's Democratic Republic,Australia,68.0
Latvia,Australia,1485.0
Lebanon,Australia,9069.0
Lesotho,Australia,72.0
Liberia,Australia,14.0
Lithuania,Australia,1222.0
Luxembourg,Australia,1109.0
Madagascar,Australia,1741.0
Malawi,Australia,26.0
Malaysia,Australia,393883.0
Mali,Australia,97.0
Malta,Australia,184.0
Marshall Islands,Australia,154.0
Mauritania,Australia,15.0
Mauritius,Australia,696.0
Mexico,Australia,228470.0
Montenegro,Australia,53.0
Morocco,Australia,4761.0
Myanmar,Australia,2525.0
Namibia,Australia,82.0
Nepal,Australia,487.0
Netherlands,Australia,420245.0
New Caledonia,Australia,520.0
New Zealand,Australia,2535083.0
Nicaragua,Australia,11121.0
Niger,Australia,134.0
Nigeria,Australia,211.0
Niue,Australia,4.0
North Macedonia,Australia,4064.0
Norway,Australia,11218.0
Oman,Australia,685.0
Pakistan,Australia,26825.0
Panama,Australia,2800.0
Papua New Guinea,Australia,33408.0
Paraguay,Australia,2719.0
Peru,Australia,30052.0
Philippines,Australia,58298.0
Poland,Australia,62239.0
Portugal,Australia,6158.0
Qatar,Australia,1.0
Republic of Korea,Australia,158395.0
Republic of Moldova,Australia,83.0
Romania,Australia,2327.0
Russian Federation,Australia,3572.0
Rwanda,Australia,1126.0
"Saint Helena, Ascension and Tristan da Cunha",Australia,94.0
Saint Kitts and Nevis,Australia,11.0
Saint Vincent and the Grenadines,Australia,4.0
Samoa,Australia,707.0
Sao Tome and Principe,Australia,10.0
Saudi Arabia,Australia,1455.0
Serbia,Australia,4670.0
Seychelles,Australia,764.0
Sierra Leone,Australia,40.0
Singapore,Australia,692580.0
Slovakia,Australia,1803.0
Slovenia,Australia,1765.0
Solomon Islands,Australia,727.0
Somalia,Australia,137.0
South Africa,Australia,44654.0
South Sudan,Australia,4.0
Spain,Australia,198461.0
Sri Lanka,Australia,52443.0
Sudan,Australia,78.0
Suriname,Australia,21.0
Sweden,Australia,34849.0
Switzerland,Australia,156658.0
Syrian Arab Republic,Australia,1009.0
Tajikistan,Australia,10.0
Thailand,Australia,478573.0
Timor-Leste,Australia,694.0
Tonga,Australia,1081.0
Trinidad and Tobago,Australia,3080.0
Tunisia,Australia,2854.0
Turkey,Australia,114668.0
Uganda,Australia,1054.0
Ukraine,Australia,18817.0
United Arab Emirates,Australia,18818.0
United Kingdom,Australia,447994.0
United Republic of Tanzania,Australia,2086.0
United States of America,Australia,1289861.0
Unspecified Area,Australia,41940.0
Uruguay,Australia,12312.0
Uzbekistan,Australia,3.0
Vanuatu,Australia,906.0
Venezuela (Bolivarian Republic of),Australia,525.0
Viet Nam,Australia,243609.0
Yemen,Australia,15.0
Zambia,Australia,59.0
Zimbabwe,Australia,134.0
Afghanistan,Austria,52.0
Albania,Austria,1293.0
Algeria,Austria,1.0
Angola,Austria,1.0
Antigua and Barbuda,Austria,2.0
Argentina,Austria,5555.0
Armenia,Austria,112.0
Australia,Austria,2564.0
Azerbaijan,Austria,202.0
Belarus,Austria,983.0
Belgium,Austria,350626.0
Bolivia (Plurinational State of),Austria,59.0
Bosnia and Herzegovina,Austria,30576.0
Brazil,Austria,13440.0
Bulgaria,Austria,50481.0
Burkina Faso,Austria,17.0
Cambodia,Austria,1226.0
Cameroon,Austria,24.0
Canada,Austria,3762.0
Cayman Islands,Austria,65.0
Chile,Austria,13400.0
"China, Hong Kong SAR",Austria,49.0
"China, Taiwan Province of",Austria,1149.0
"China, mainland",Austria,52588.0
Colombia,Austria,1132.0
Costa Rica,Austria,146.0
Croatia,Austria,72827.0
Cuba,Austria,1988.0
Cyprus,Austria,14088.0
Czechia,Austria,420386.0
Democratic People's Republic of Korea,Austria,509.0
Democratic Republic of the Congo,Austria,1.0
Denmark,Austria,53620.0
Dominican Republic,Austria,327.0
Ecuador,Austria,428.0
Egypt,Austria,4021.0
El Salvador,Austria,82.0
Estonia,Austria,1143.0
Eswatini,Austria,36.0
Ethiopia,Austria,416.0
Finland,Austria,7025.0
France,Austria,344130.0
French Polynesia,Austria,15.0
Georgia,Austria,264.0
Germany,Austria,5013321.0
Ghana,Austria,6.0
Greece,Austria,78067.0
Guatemala,Austria,374.0
Guyana,Austria,3.0
Haiti,Austria,3.0
Honduras,Austria,1569.0
Hungary,Austria,677256.0
Iceland,Austria,789.0
India,Austria,28586.0
Indonesia,Austria,5940.0
Iran (Islamic Republic of),Austria,3901.0
Iraq,Austria,15.0
Ireland,Austria,83897.0
Israel,Austria,2072.0
Italy,Austria,1310461.0
Jamaica,Austria,88.0
Japan,Austria,3094.0
Jordan,Austria,373.0
Kazakhstan,Austria,721.0
Kenya,Austria,687.0
Kuwait,Austria,3.0
Kyrgyzstan,Austria,67.0
Lao People's Democratic Republic,Austria,19.0
Latvia,Austria,3910.0
Lebanon,Austria,1817.0
Lithuania,Austria,23350.0
Luxembourg,Austria,18070.0
Madagascar,Austria,149.0
Malaysia,Austria,1737.0
Malta,Austria,444.0
Mauritius,Austria,1435.0
Mexico,Austria,6543.0
Mongolia,Austria,1783.0
Montenegro,Austria,775.0
Morocco,Austria,846.0
Mozambique,Austria,262.0
Namibia,Austria,3.0
Nepal,Austria,79.0
Netherlands,Austria,979305.0
New Zealand,Austria,3292.0
Nicaragua,Austria,334.0
Nigeria,Austria,151.0
North Macedonia,Austria,8147.0
Norway,Austria,162.0
Oman,Austria,9.0
Pakistan,Austria,321.0
Palestine,Austria,417.0
Panama,Austria,721.0
Paraguay,Austria,914.0
Peru,Austria,2247.0
Philippines,Austria,4207.0
Poland,Austria,432976.0
Portugal,Austria,8249.0
Republic of Korea,Austria,4168.0
Republic of Moldova,Austria,15086.0
Romania,Austria,118124.0
Russian Federation,Austria,4806.0
Saint Kitts and Nevis,Austria,1.0
Saint Lucia,Austria,1.0
Saudi Arabia,Austria,45.0
Senegal,Austria,32.0
Serbia,Austria,103454.0
Singapore,Austria,5558.0
Slovakia,Austria,304137.0
Slovenia,Austria,109150.0
Somalia,Austria,14.0
South Africa,Austria,6915.0
Spain,Austria,312212.0
Sri Lanka,Austria,2477.0
Suriname,Austria,10.0
Sweden,Austria,21535.0
Switzerland,Austria,934587.0
Syrian Arab Republic,Austria,851.0
Thailand,Austria,10716.0
Trinidad and Tobago,Austria,13.0
Tunisia,Austria,4337.0
Turkey,Austria,363135.0
Uganda,Austria,41.0
Ukraine,Austria,35678.0
United Arab Emirates,Austria,1247.0
United Kingdom,Austria,133643.0
United Republic of Tanzania,Austria,554.0
United States of America,Austria,47216.0
Uruguay,Austria,92.0
Uzbekistan,Austria,1007.0
Venezuela (Bolivarian Republic of),Austria,4.0
Viet Nam,Austria,6964.0
France,Azerbaijan,2.0
Georgia,Azerbaijan,30.0
Germany,Azerbaijan,6.0
India,Azerbaijan,11663.0
Italy,Azerbaijan,6.0
Kazakhstan,Azerbaijan,68.0
Luxembourg,Azerbaijan,4.0
Netherlands,Azerbaijan,21.0
Pakistan,Azerbaijan,60150.0
Russian Federation,Azerbaijan,6990.0
Turkey,Azerbaijan,45.0
United Arab Emirates,Azerbaijan,4.0
Bahrain,Bahamas,1.0
Brazil,Bahamas,235.0
Guyana,Bahamas,15.0
Namibia,Bahamas,1.0
Thailand,Bahamas,50.0
United States of America,Bahamas,6774.0
Afghanistan,Bahrain,211.0
Albania,Bahrain,28.0
Algeria,Bahrain,54.0
American Samoa,Bahrain,3.0
Antigua and Barbuda,Bahrain,40.0
Argentina,Bahrain,8790.0
Australia,Bahrain,99788.0
Austria,Bahrain,7029.0
Azerbaijan,Bahrain,177.0
Bahamas,Bahrain,7.0
Bangladesh,Bahrain,3977.0
Belarus,Bahrain,1.0
Belgium,Bahrain,13504.0
Belize,Bahrain,484.0
Bolivia (Plurinational State of),Bahrain,205.0
Bosnia and Herzegovina,Bahrain,142.0
Brazil,Bahrain,83337.0
Bulgaria,Bahrain,1011.0
Burkina Faso,Bahrain,6366.0
Burundi,Bahrain,1.0
Cameroon,Bahrain,4.0
Canada,Bahrain,3344.0
Cayman Islands,Bahrain,1.0
Chad,Bahrain,2906.0
Chile,Bahrain,4531.0
"China, Hong Kong SAR",Bahrain,831.0
"China, Macao SAR",Bahrain,9.0
"China, Taiwan Province of",Bahrain,232.0
"China, mainland",Bahrain,29381.0
Colombia,Bahrain,1324.0
Comoros,Bahrain,45.0
Costa Rica,Bahrain,121.0
Croatia,Bahrain,9.0
Cuba,Bahrain,396.0
Cyprus,Bahrain,2592.0
Czechia,Bahrain,964.0
Côte d'Ivoire,Bahrain,9.0
Denmark,Bahrain,8347.0
Djibouti,Bahrain,1.0
Dominica,Bahrain,5.0
Dominican Republic,Bahrain,28.0
Ecuador,Bahrain,1395.0
Egypt,Bahrain,39376.0
El Salvador,Bahrain,5.0
Estonia,Bahrain,58.0
Ethiopia,Bahrain,3405.0
Fiji,Bahrain,70.0
Finland,Bahrain,567.0
France,Bahrain,29826.0
French Polynesia,Bahrain,14.0
French Southern and Antarctic Territories,Bahrain,1.0
Gabon,Bahrain,36.0
Gambia,Bahrain,2.0
Georgia,Bahrain,63.0
Germany,Bahrain,31511.0
Ghana,Bahrain,39.0
Greece,Bahrain,3075.0
Greenland,Bahrain,1.0
Guam,Bahrain,92.0
Guatemala,Bahrain,1533.0
Guyana,Bahrain,38.0
Holy See,Bahrain,41.0
Honduras,Bahrain,14.0
Hungary,Bahrain,1126.0
Iceland,Bahrain,1.0
India,Bahrain,154854.0
Indonesia,Bahrain,5624.0
Iran (Islamic Republic of),Bahrain,15884.0
Iraq,Bahrain,97.0
Ireland,Bahrain,25149.0
Italy,Bahrain,22555.0
Jamaica,Bahrain,30.0
Japan,Bahrain,1472.0
Jordan,Bahrain,25337.0
Kenya,Bahrain,3365.0
Kuwait,Bahrain,15460.0
Kyrgyzstan,Bahrain,1.0
Lao People's Democratic Republic,Bahrain,7.0
Latvia,Bahrain,5.0
Lebanon,Bahrain,9033.0
Lesotho,Bahrain,2.0
Libya,Bahrain,18.0
Lithuania,Bahrain,1366.0
Luxembourg,Bahrain,50.0
Madagascar,Bahrain,78.0
